Date,Timestamp,Predict,Score,Truth,x0,x1,x2,x3,x4,x5,x6
20231103,13-03-12,0,0.889,0,0.8890442252159119,0.012617357075214386,0.014586190693080425,0.015176535584032536,0.026673126965761185,0.026417680084705353,0.015484930947422981
20231103,13-04-12,0,0.773,4,0.7726629972457886,0.0221715085208416,0.019530031830072403,0.022748444229364395,0.09749534726142883,0.023392312228679657,0.04199942201375961
20231103,13-05-12,4,0.914,4,0.00937240943312645,0.011846994049847126,0.017176326364278793,0.014700991101562977,0.9142529368400574,0.014729592949151993,0.017920836806297302
20231103,13-06-12,4,0.92,4,0.010675446130335331,0.011023743078112602,0.015601196326315403,0.012695880606770515,0.9199059009552002,0.016239400953054428,0.013858441263437271
20231103,13-07-12,4,0.912,4,0.011126319877803326,0.011143543757498264,0.017668912187218666,0.013630627654492855,0.9118502140045166,0.019009683281183243,0.015570718795061111
20231103,13-08-12,4,0.914,4,0.010240229777991772,0.011005861684679985,0.0172919649630785,0.0139749925583601,0.9144180417060852,0.01769384555518627,0.01537505816668272
20231103,13-09-11,4,0.681,4,0.16840413212776184,0.040146078914403915,0.027269843965768814,0.03148456662893295,0.680908203125,0.016588767990469933,0.03519836440682411
20231103,13-10-12,4,0.917,4,0.009163498878479004,0.011226051487028599,0.01642279326915741,0.013412351720035076,0.9170921444892883,0.013701104559004307,0.01898209936916828
20231103,13-11-11,4,0.913,4,0.010320281609892845,0.011258398182690144,0.01747068762779236,0.013910945504903793,0.9126153588294983,0.019503382965922356,0.014921012334525585
20231103,13-12-12,0,0.486,4,0.4863600730895996,0.036367010325193405,0.02779518812894821,0.030632393434643745,0.3222512900829315,0.028287837281823158,0.06830624490976334
20231103,13-13-11,4,0.891,4,0.011351787485182285,0.01907559111714363,0.017882760614156723,0.01404377818107605,0.8909423351287842,0.014570479281246662,0.03213316574692726
20231103,13-14-12,4,0.916,4,0.009275957942008972,0.011106199584901333,0.016618970781564713,0.013349801301956177,0.9162304997444153,0.018045371398329735,0.015373106114566326
20231103,13-15-11,4,0.915,4,0.008930215612053871,0.011587767861783504,0.016952620819211006,0.0133872264996171,0.9152863621711731,0.015543983317911625,0.01831175945699215
20231103,13-16-12,4,0.918,4,0.010237165726721287,0.01045255921781063,0.01595364697277546,0.012646124698221684,0.9178141951560974,0.016929371282458305,0.01596701703965664
20231103,13-17-12,4,0.92,4,0.0086231529712677,0.01017026137560606,0.015252040699124336,0.011675195768475533,0.9201421141624451,0.014542082324624062,0.019595196470618248
20231103,13-18-12,4,0.916,4,0.009377394802868366,0.011123720556497574,0.015787852928042412,0.013040292076766491,0.9163116812705994,0.015343795530498028,0.019015293568372726
20231103,13-19-11,4,0.916,4,0.00992564857006073,0.010765627957880497,0.01737009361386299,0.013226336799561977,0.9156091809272766,0.017191268503665924,0.015911757946014404
20231103,13-20-11,4,0.902,4,0.011112813837826252,0.013775288127362728,0.016414646059274673,0.015134778805077076,0.9020495414733887,0.022070763632655144,0.019442129880189896
20231103,13-21-12,0,0.919,0,0.91941237449646,0.009990248829126358,0.015325985848903656,0.013192543759942055,0.011203314177691936,0.019414247944951057,0.0114613501355052
